iter	Passed	Remaining
0	75	75163
1	127	63437
2	175	58173
3	235	58562
4	304	60624
5	390	64716
6	461	65414
7	533	66160
8	629	69322
9	723	71626
10	818	73549
11	896	73847
12	958	72747
13	1027	72395
14	1106	72644
15	1166	71715
16	1210	69983
17	1257	68593
18	1306	67475
19	1351	66212
20	1396	65086
21	1440	64019
22	1487	63191
23	1539	62603
24	1569	61211
25	1614	60478
26	1662	59916
27	1710	59378
28	1759	58927
29	1808	58460
30	1852	57904
31	1897	57404
32	1946	57044
33	1997	56763
34	2043	56350
35	2091	55995
36	2135	55588
37	2187	55370
38	2233	55031
39	2282	54786
40	2326	54425
41	2372	54120
42	2420	53869
43	2467	53620
44	2512	53314
45	2557	53033
46	2601	52754
47	2648	52520
48	2694	52298
49	2739	52048
50	2783	51802
51	2830	51594
52	2884	51542
53	2937	51454
54	2982	51244
55	3028	51043
56	3073	50848
57	3121	50693
58	3170	50570
59	3215	50369
60	3260	50187
61	3305	50009
62	3354	49890
63	3400	49736
64	3444	49545
65	3490	49399
66	3535	49226
67	3583	49113
68	3629	48975
69	3673	48810
70	3718	48653
71	3762	48500
72	3811	48394
73	3859	48298
74	3904	48157
75	3950	48029
76	3995	47894
77	4044	47806
78	4090	47683
79	4133	47540
80	4180	47425
81	4224	47292
82	4271	47191
83	4317	47081
84	4362	46958
85	4407	46837
86	4452	46723
87	4498	46622
88	4544	46521
89	4589	46407
90	4635	46299
91	4680	46192
92	4727	46105
93	4774	46019
94	4818	45902
95	4864	45811
96	4911	45723
97	4957	45633
98	5003	45538
99	5049	45441
100	5096	45359
101	5140	45252
102	5188	45185
103	5234	45094
104	5279	44999
105	5324	44904
106	5369	44812
107	5416	44739
108	5464	44671
109	5509	44575
110	5556	44505
111	5603	44425
112	5650	44354
113	5695	44263
114	5739	44172
115	5785	44092
116	5830	43999
117	5878	43940
118	5924	43864
119	5969	43775
120	6013	43683
121	6057	43594
122	6106	43539
123	6152	43464
124	6196	43372
125	6239	43281
126	6284	43202
127	6332	43137
128	6378	43069
129	6422	42984
130	6468	42906
131	6511	42819
132	6559	42757
133	6609	42713
134	6660	42673
135	6707	42613
136	6753	42541
137	6800	42480
138	6845	42405
139	6891	42335
140	6936	42256
141	6984	42204
142	7032	42148
143	7080	42087
144	7123	42006
145	7170	41943
146	7215	41866
147	7262	41811
148	7308	41742
149	7353	41670
150	7397	41592
151	7442	41520
152	7491	41471
153	7536	41403
154	7583	41341
155	7628	41271
156	7673	41200
157	7721	41146
158	7768	41092
159	7813	41022
160	7859	40959
161	7908	40910
162	7961	40879
163	8014	40856
164	8060	40792
165	8105	40723
166	8152	40662
167	8201	40615
168	8249	40561
169	8297	40510
170	8341	40441
171	8387	40376
172	8434	40319
173	8483	40269
174	8531	40219
175	8582	40181
176	8638	40164
177	8696	40158
178	8744	40109
179	8794	40061
180	8840	40003
181	8890	39957
182	8934	39888
183	8979	39821
184	9023	39750
185	9069	39689
186	9115	39631
187	9161	39568
188	9205	39500
189	9249	39431
190	9296	39378
191	9343	39319
192	9388	39256
193	9432	39187
194	9477	39125
195	9524	39068
196	9571	39013
197	9614	38942
198	9658	38877
199	9703	38812
200	9751	38762
201	9798	38708
202	9843	38645
203	9889	38589
204	9932	38519
205	9982	38477
206	10030	38427
207	10076	38367
208	10121	38306
209	10166	38243
210	10213	38193
211	10259	38134
212	10305	38075
213	10348	38010
214	10393	37947
215	10440	37893
216	10486	37838
217	10531	37777
218	10575	37715
219	10620	37652
220	10666	37599
221	10714	37550
222	10758	37485
223	10803	37426
224	10850	37373
225	10898	37325
226	10944	37270
227	10991	37215
228	11036	37156
229	11082	37101
230	11136	37073
231	11183	37020
232	11227	36958
233	11272	36901
234	11316	36838
235	11364	36789
236	11410	36734
237	11453	36671
238	11500	36618
239	11544	36556
240	11591	36506
241	11636	36448
242	11681	36389
243	11725	36331
244	11770	36272
245	11818	36223
246	11865	36172
247	11910	36115
248	11957	36064
249	12002	36008
250	12049	35956
251	12094	35900
252	12138	35840
253	12183	35783
254	12227	35723
255	12277	35680
256	12322	35625
257	12367	35567
258	12411	35509
259	12457	35455
260	12504	35404
261	12551	35354
262	12596	35299
263	12641	35242
264	12686	35187
265	12732	35135
266	12778	35081
267	12823	35025
268	12870	34974
269	12913	34914
270	12961	34866
271	13015	34835
272	13068	34801
273	13112	34744
274	13157	34687
275	13210	34653
276	13255	34599
277	13303	34550
278	13347	34491
279	13392	34438
280	13440	34389
281	13485	34334
282	13528	34275
283	13574	34223
284	13620	34171
285	13669	34125
286	13714	34070
287	13759	34017
288	13804	33960
289	13848	33905
290	13896	33858
291	13942	33804
292	13986	33748
293	14029	33690
294	14076	33641
295	14124	33593
296	14171	33544
297	14216	33489
298	14262	33438
299	14306	33382
300	14352	33331
301	14400	33282
302	14448	33236
303	14492	33181
304	14535	33122
305	14583	33074
306	14629	33022
307	14673	32968
308	14717	32911
309	14762	32858
310	14809	32809
311	14857	32762
312	14901	32706
313	14945	32651
314	14990	32598
315	15037	32549
316	15084	32501
317	15129	32446
318	15174	32394
319	15217	32337
320	15265	32290
321	15312	32241
322	15358	32191
323	15402	32136
324	15445	32080
325	15496	32038
326	15545	31994
327	15593	31948
328	15639	31896
329	15684	31844
330	15733	31798
331	15779	31749
332	15824	31696
333	15871	31647
334	15914	31590
335	15960	31540
336	16009	31496
337	16054	31444
338	16098	31389
339	16142	31335
340	16189	31287
341	16236	31237
342	16282	31188
343	16326	31133
344	16372	31083
345	16419	31036
346	16467	30989
347	16511	30934
348	16558	30886
349	16603	30835
350	16651	30788
351	16697	30738
352	16742	30686
353	16788	30636
354	16833	30584
355	16880	30537
356	16928	30490
357	16972	30437
358	17017	30384
359	17062	30333
360	17109	30286
361	17157	30238
362	17201	30185
363	17246	30134
364	17290	30080
365	17337	30032
366	17383	29982
367	17427	29930
368	17471	29877
369	17516	29824
370	17563	29778
371	17610	29730
372	17655	29677
373	17698	29623
374	17743	29572
375	17792	29527
376	17837	29477
377	17883	29427
378	17927	29375
379	17973	29325
380	18021	29279
381	18074	29241
382	18126	29201
383	18174	29154
384	18217	29100
385	18267	29057
386	18312	29006
387	18357	28956
388	18403	28906
389	18447	28854
390	18497	28811
391	18543	28761
392	18588	28710
393	18632	28658
394	18679	28610
395	18729	28566
396	18786	28534
397	18831	28483
398	18880	28438
399	18925	28388
400	18976	28345
401	19020	28294
402	19066	28245
403	19112	28195
404	19160	28148
405	19205	28098
406	19251	28048
407	19296	27998
408	19340	27946
409	19388	27900
410	19435	27852
411	19480	27802
412	19524	27749
413	19568	27698
414	19615	27650
415	19663	27604
416	19706	27551
417	19752	27502
418	19796	27450
419	19842	27402
420	19889	27353
421	19933	27302
422	19983	27259
423	20030	27210
424	20079	27165
425	20125	27117
426	20170	27067
427	20215	27016
428	20261	26968
429	20309	26921
430	20356	26874
431	20401	26823
432	20446	26773
433	20491	26723
434	20537	26674
435	20584	26627
436	20628	26576
437	20674	26526
438	20717	26474
439	20765	26428
440	20811	26380
441	20857	26331
442	20900	26278
443	20944	26228
444	20992	26181
445	21039	26133
446	21083	26082
447	21127	26031
448	21172	25981
449	21218	25933
450	21265	25886
451	21309	25835
452	21354	25786
453	21398	25734
454	21445	25686
455	21492	25639
456	21537	25590
457	21581	25539
458	21624	25488
459	21673	25442
460	21718	25393
461	21766	25346
462	21810	25296
463	21857	25248
464	21904	25201
465	21952	25155
466	21995	25103
467	22039	25053
468	22084	25004
469	22131	24956
470	22183	24915
471	22227	24865
472	22273	24815
473	22317	24766
474	22366	24720
475	22411	24670
476	22456	24622
477	22500	24571
478	22542	24519
479	22590	24472
480	22636	24424
481	22682	24376
482	22726	24326
483	22772	24277
484	22820	24231
485	22868	24186
486	22913	24137
487	22957	24086
488	23000	24035
489	23047	23988
490	23096	23942
491	23152	23905
492	23204	23863
493	23250	23815
494	23304	23774
495	23351	23728
496	23395	23678
497	23442	23631
498	23493	23588
499	23538	23538
500	23582	23488
501	23627	23438
502	23673	23391
503	23721	23344
504	23768	23297
505	23813	23248
506	23857	23198
507	23902	23149
508	23952	23105
509	23998	23057
510	24043	23008
511	24087	22958
512	24131	22908
513	24180	22863
514	24226	22815
515	24271	22766
516	24316	22717
517	24363	22670
